EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Average Job Satisfaction  
90,2,3,3,2.714649387
91,1,4,3,2.714583333
92,4,3,2,2.714285714
93,3,3,3,2.714219546
94,3,2,3,2.714153347
95,1,3,1,2.714318814
96,3,1,3,2.714252607
97,4,3,4,2.714649977
98,3,3,3,2.714583816
99,1,4,3,2.714517625
100,1,2,3,2.714219439
101,4,4,3,2.714385151
102,1,4,3,2.714086795
103,4,3,3,2.713788301
104,4,3,3,2.713721848
105,1,4,2,2.713655365
106,4,3,3,2.713356562
107,3,1,3,2.713289963
108,3,3,4,2.713688125
109,1,2,3,2.713621571
110,4,4,3,2.713787491
111,3,3,3,2.713488372
112,NA,2,3,2.713421726
113,3,2,3,2.713587715
114,4,4,3,2.713753782
115,3,2,3,2.713454376
116,4,2,3,2.713620489
117,2,4,3,2.713786679
118,2,3,3,2.713487072
119,3,4,2,2.713420317
120,4,3,3,2.713120485
121,1,4,2,2.713053613
122,3,4,3,2.712753556
123,4,3,4,2.712453358
124,3,2,3,2.712386284
125,3,NA,3,2.712552497
126,1,2,3,2.713185531
127,2,3,3,2.713352007
128,3,4,3,2.713285081
129,4,1,2,2.712984587
130,4,2,3,2.713384723
131,2,1,3,2.713551402
132,3,2,2,2.713951858
133,1,2,3,2.714118747
134,2,3,3,2.714285714
135,1,1,2,2.714218896
136,3,3,3,2.714619883
137,2,1,1,2.714553112
138,4,4,3,2.714954365
139,3,3,3,2.714653558
140,2,4,3,2.714586748
141,2,3,3,2.714285714
142,4,1,3,2.714218787
143,2,3,3,2.714620431
144,3,1,2,2.714553551
145,2,3,3,2.714955462
146,2,1,3,2.714888628
147,3,1,3,2.715290807
148,1,1,3,2.715693174
149,4,3,3,2.71609573
150,1,4,2,2.716029101
151,4,4,1,2.7157277
152,1,3,3,2.715426156
153,3,4,3,2.715359324
154,1,1,1,2.715057552
155,3,3,2,2.715460526
156,4,4,4,2.715393655
157,1,2,3,2.715091678
158,4,3,2,2.715259817
159,4,4,3,2.71519285
160,3,3,3,2.714890614
161,1,4,1,2.714823529
162,3,4,1,2.714521064
163,2,3,3,2.714218456
164,3,2,4,2.714151166
165,1,4,4,2.714319359
166,3,1,3,2.71401649
167,1,4,2,2.714420358
168,2,3,3,2.71411737
169,3,4,2,2.714049976
170,3,1,4,2.713746758
171,1,4,3,2.714150943
172,1,3,1,2.713847606
173,4,3,3,2.713780085
174,3,3,3,2.713712532
175,4,3,3,2.713644948
176,3,4,3,2.713577332
177,3,2,4,2.7132735
178,2,3,4,2.713442003
179,1,4,3,2.713374291
180,4,2,3,2.713070196
181,4,3,3,2.713238771
182,1,3,3,2.713170962
183,2,1,3,2.713103122
184,2,3,3,2.713508398
185,2,4,2,2.713440606
186,3,3,3,2.713136095
187,2,4,3,2.713068182
188,1,2,3,2.712763438
189,4,4,3,2.71293226
190,2,3,3,2.712627339
191,2,3,3,2.712559242
192,3,3,3,2.712491112
193,2,4,4,2.712422949
194,4,1,2,2.712117619
195,4,2,4,2.712523719
196,NA,3,2,2.712692764
197,4,4,4,2.712624585
198,1,3,3,2.712319013
199,3,4,2,2.712250712
200,2,2,3,2.711944906
201,3,1,3,2.712114014
202,1,3,3,2.712520789
203,1,3,3,2.712452471
204,1,3,3,2.712384122
205,4,4,3,2.712315739
206,3,4,1,2.712009512
207,2,4,4,2.71170314
208,1,3,2,2.711396621
209,2,1,3,2.711327939
210,1,2,3,2.711735301
211,4,1,3,2.711904762
212,4,3,3,2.712312455
213,4,4,3,2.712243926
214,3,3,3,2.711937098
215,2,2,2,2.711868446
216,4,3,3,2.712038141
217,2,4,3,2.71196948
218,1,2,4,2.711662294
219,4,2,3,2.711832061
220,1,2,3,2.712001909
221,2,3,3,2.712171838
222,1,3,3,2.712103127
223,2,1,4,2.712034384
224,2,4,3,2.712443277
225,2,1,1,2.71213569
226,1,4,3,2.712544803
227,1,4,4,2.712237094
228,1,3,2,2.711929237
229,4,3,2,2.711860354
230,4,2,4,2.711791437
231,3,4,3,2.711961722
232,2,4,2,2.711653506
233,3,1,2,2.711345141
234,4,3,3,2.711754848
235,4,1,1,2.711685824
236,1,3,4,2.712095808
237,3,3,3,2.712026833
238,3,1,3,2.711957824
239,3,3,3,2.712368169
240,4,4,4,2.712299209
241,1,3,3,2.711990408
242,3,3,3,2.711921324
243,1,4,2,2.711852207
244,3,3,3,2.711543077
245,4,1,4,2.711473836
246,2,4,2,2.711884754
247,1,1,3,2.711575408
248,3,4,3,2.711986548
249,3,3,3,2.711677078
250,2,3,2,2.711607787
251,2,4,3,2.711538462
252,3,4,1,2.711228661
253,3,2,4,2.710918711
254,2,2,3,2.711089728
255,1,4,3,2.711260828
256,4,3,3,2.710950662
257,1,1,3,2.710881078
258,3,3,3,2.711293041
259,1,1,4,2.711223507
260,4,2,3,2.71163575
261,4,4,3,2.711807229
262,2,4,3,2.711496746
263,2,2,3,2.711186114
264,4,4,3,2.711357608
265,4,4,3,2.711046792
266,4,3,3,2.710735826
267,4,2,4,2.710666023
268,1,3,3,2.710837557
269,4,3,3,2.710767745
270,4,4,2,2.710697899
271,2,3,3,2.710386473
272,2,4,2,2.710316502
273,3,1,3,2.710004833
274,3,4,NA,2.710418177
275,4,1,3,2.710106383
276,4,1,3,2.710519952
277,3,3,3,2.71093372
278,2,4,2,2.710863779
279,1,1,3,2.710551791
280,4,1,2,2.710965868
281,4,3,3,2.711380145
282,4,2,3,2.711310245
283,1,2,3,2.711482558
284,1,1,3,2.711654955
285,3,3,4,2.712069801
286,1,3,3,2.712
287,4,3,2,2.711930165
288,3,4,2,2.711860296
289,3,3,3,2.711547792
290,3,3,3,2.711477797
291,4,4,3,2.711407767
292,2,3,3,2.711094926
293,2,1,4,2.711024769
294,3,2,1,2.711440369
295,3,4,2,2.711613217
296,4,4,2,2.711300122
297,4,1,1,2.710986874
298,4,2,3,2.711402869
299,4,4,3,2.711575875
300,4,1,4,2.711262467
301,NA,4,3,2.711678832
302,4,3,1,2.711365296
303,2,1,3,2.711295034
304,3,1,4,2.711711712
305,4,4,2,2.712128592
306,3,4,2,2.71181486
307,2,3,3,2.711500975
308,1,3,3,2.71143066
309,2,3,3,2.711360312
310,4,4,3,2.711289929
311,4,1,3,2.71097561
312,1,1,3,2.711393023
313,4,4,3,2.711810639
314,1,NA,3,2.711496217
315,2,3,2,2.712158203
316,4,1,2,2.712087912
317,2,4,3,2.712506106
318,4,1,3,2.712191547
319,3,4,3,2.712609971
320,4,1,2,2.712295282
321,1,1,3,2.712713936
322,3,1,3,2.713132795
323,1,4,2,2.713551859
324,4,3,3,2.713237093
325,3,2,3,2.713166911
326,3,1,3,2.713341493
327,2,4,2,2.713761019
328,3,1,3,2.713445996
329,3,2,3,2.713865752
330,4,3,3,2.714040676
331,3,3,3,2.713970588
332,2,1,3,2.713900466
333,3,3,4,2.714320745
334,1,1,3,2.714250675
335,3,4,2,2.714671246
336,3,2,3,2.714355828
337,3,3,3,2.714531173
338,4,2,3,2.714461085
339,4,3,3,2.714636542
340,4,4,3,2.714566446
341,3,3,2,2.714250614
342,3,2,3,2.714180388
343,3,3,3,2.714355949
344,1,3,3,2.714285714
345,3,4,2,2.714215445
346,2,3,3,2.713899139
347,2,2,2,2.71382874
348,1,1,2,2.71400443
349,3,4,3,2.714426391
350,3,4,4,2.714109825
351,3,4,2,2.713793103
352,2,1,3,2.713476226
353,3,4,3,2.713898472
354,3,3,4,2.713581464
355,2,2,3,2.713510848
356,3,4,1,2.713686806
357,3,3,3,2.713369512
358,4,4,2,2.713298791
359,1,3,2,2.712981244
360,4,2,2,2.712910392
361,1,1,2,2.71308642
362,1,1,3,2.713509509
363,3,1,2,2.713932806
364,2,4,2,2.714356313
365,2,4,2,2.714038557
366,2,4,2,2.713720643
367,1,4,3,2.713402572
368,4,1,3,2.713084343
369,3,3,2,2.713508164
370,3,4,3,2.713437268
371,4,3,3,2.713118812
372,2,4,3,2.713047784
373,4,4,1,2.712729074
374,1,4,2,2.712410206
375,2,4,3,2.712091179
376,1,1,3,2.711771995
377,3,1,3,2.712196331
378,4,3,3,2.712620878
379,4,2,2,2.712549603
380,4,4,3,2.712726371
381,3,1,4,2.712406948
382,3,1,3,2.712831968
383,1,4,2,2.7132572
384,2,2,3,2.712937671
385,2,2,3,2.713114754
386,3,4,2,2.713291925
387,4,4,3,2.712972167
388,2,3,3,2.71265225
389,1,4,3,2.712580806
390,4,2,3,2.712260632
391,3,4,3,2.712437811
392,4,4,3,2.712117442
393,4,4,2,2.711796914
394,3,4,3,2.711476226
395,1,2,3,2.711155378
396,1,1,3,2.711332503
397,4,4,3,2.711758844
398,4,2,4,2.711437827
399,1,4,1,2.711615155
400,1,4,3,2.711293942
401,2,1,3,2.710972569
402,1,4,3,2.711399351
403,4,4,2,2.711077844
404,1,2,4,2.710756177
405,3,3,2,2.7109336
406,NA,4,2,2.710861423
407,3,4,2,2.710539461
408,4,4,2,2.710217337
409,2,3,4,2.709895052
410,2,4,2,2.709822544
411,3,3,3,2.7095
412,4,1,1,2.709427357
413,2,3,3,2.709854927
414,2,2,3,2.709782337
415,3,3,3,2.70995996
416,3,1,3,2.709887359
417,3,2,3,2.710315473
418,2,3,4,2.710493363
419,4,4,1,2.710420842
420,1,2,2,2.71009772
421,4,3,2,2.710275689
422,4,3,2,2.710203058
423,2,4,3,2.710130391
424,4,1,3,2.709806872
425,3,2,3,2.710235825
426,3,2,3,2.710414053
427,1,2,2,2.710592369
428,3,1,3,2.710770776
429,4,1,3,2.711200402
430,3,3,3,2.711630244
431,4,2,4,2.711557789
432,1,1,3,2.711736617
433,4,4,1,2.712166918
434,4,2,3,2.711843098
435,3,1,4,2.712022133
436,3,4,3,2.71245283
437,2,4,3,2.712128837
438,1,3,1,2.711804682
439,3,2,2,2.711732125
440,3,4,3,2.711911357
441,3,3,3,2.711586902
442,4,4,2,2.711514235
443,4,3,3,2.711189516
444,3,3,4,2.711116713
445,3,3,4,2.711043873
446,3,4,3,2.710970996
447,4,4,3,2.710645812
448,1,3,3,2.710320464
449,2,2,2,2.71024735
450,3,3,4,2.71042666
451,1,4,3,2.710353535
452,3,1,3,2.710027785
453,4,3,3,2.710459828
454,4,1,3,2.710386657
455,2,4,3,2.710819009
456,4,4,3,2.710493047
457,4,4,2,2.71016692
458,3,2,3,2.709840627
459,1,3,4,2.710020243
460,3,2,3,2.709946849
461,4,1,3,2.710126582
462,4,4,3,2.710559635
463,1,3,3,2.710233029
464,4,3,3,2.710159615
465,3,3,2,2.710086163
466,4,3,3,2.710012674
467,4,3,3,2.709939148
468,3,2,1,2.709865585
469,3,1,3,2.710045662
470,2,4,3,2.710479574
471,3,3,3,2.710152284
472,3,3,2,2.7100787
473,2,1,2,2.710005079
474,4,1,3,2.710439421
475,2,2,3,2.710873984
476,4,4,3,2.711054638
477,2,1,2,2.710726995
478,1,3,3,2.711161963
479,3,3,3,2.711088505
480,4,3,3,2.711015009
481,4,4,3,2.710941476
482,1,4,3,2.710613388
483,2,4,2,2.710285132
484,4,3,NA,2.70995671
485,1,4,3,2.709882832
486,3,4,3,2.70955414
487,1,2,1,2.70922528
488,3,2,3,2.709406067
489,2,3,3,2.709586945
490,NA,4,3,2.709512879
491,2,1,3,2.709183673
492,1,4,3,2.709619801
493,4,4,3,2.709290454
494,4,3,3,2.708960939
495,3,1,3,2.708886619
496,4,1,3,2.709323116
497,2,4,2,2.709759836
498,4,4,4,2.709430105
499,4,3,3,2.709100204
500,2,4,2,2.709025825
501,2,4,1,2.708695652
502,2,2,3,2.708365311
503,3,2,3,2.708546571
504,1,3,2,2.708727924
505,1,1,3,2.708653354
506,3,3,3,2.709090909
507,4,2,3,2.709016393
508,3,3,3,2.709198053
509,2,3,2,2.709123526
510,4,2,2,2.709048962
511,3,1,2,2.709230769
512,1,3,3,2.709669146
513,4,4,3,2.709594664
514,3,3,3,2.709263536
515,1,3,3,2.709188912
516,4,4,2,2.709114249
517,3,1,4,2.708782743
518,3,4,3,2.70922168
519,4,4,3,2.708890031
520,3,1,2,2.708558211
521,4,1,3,2.708997429
522,1,3,4,2.709436873
523,2,1,2,2.70936214
524,1,1,3,2.709801904
525,3,1,2,2.710241894
526,2,3,3,2.710682111
527,3,3,2,2.710607621
528,1,4,3,2.710533093
529,1,3,3,2.710200927
530,4,2,3,2.710126256
531,3,3,4,2.710309278
532,2,1,3,2.710234597
533,4,4,3,2.710675606
534,4,1,3,2.710343049
535,1,3,3,2.710784314
536,1,3,2,2.710709677
537,1,4,2,2.710635003
538,4,4,3,2.710302091
539,4,4,4,2.709969008
540,1,3,2,2.709635753
541,1,2,3,2.709560724
542,4,1,3,2.70974412
543,1,2,3,2.710186143
544,4,3,3,2.710369796
545,4,2,3,2.710294878
546,3,4,3,2.710478655
547,1,4,2,2.710144928
548,2,3,3,2.709811028
549,2,2,3,2.709735888
550,3,3,3,2.70991971
551,3,4,3,2.70984456
552,4,2,2,2.709510236
553,1,3,3,2.709694142
554,4,2,3,2.709618875
555,3,1,3,2.709802905
556,1,4,3,2.710246433
557,3,3,4,2.70991178
558,4,2,4,2.709836491
559,3,2,2,2.710020768
560,1,4,3,2.710205142
561,3,4,3,2.70987013
562,1,2,1,2.709534944
563,4,4,3,2.709719335
564,4,2,3,2.709383936
565,4,3,2,2.709568383
566,4,2,2,2.709492848
567,2,4,3,2.709677419
568,2,4,2,2.70934166
569,3,3,4,2.709005726
570,3,3,3,2.708929966
571,3,3,3,2.708854167
572,1,1,3,2.708778328
573,2,4,3,2.709223554
574,3,3,2,2.708887151
575,3,4,3,2.708811262
576,4,3,3,2.708474576
577,2,3,2,2.708398539
578,3,3,1,2.708322463
579,4,1,1,2.708246347
580,2,3,2,2.708692247
581,3,1,2,2.708616188
582,2,1,4,2.709062418
583,4,3,3,2.709508882
584,4,2,3,2.709432976
585,3,4,2,2.7096184
586,1,4,3,2.709281046
587,3,NA,3,2.708943515
588,3,4,1,2.709652106
589,3,2,4,2.709314495
590,4,1,3,2.709500131
591,4,4,4,2.709947644
592,1,3,2,2.709609846
593,3,1,3,2.709533787
594,4,1,3,2.709981661
595,2,4,3,2.710429769
596,3,1,3,2.710091743
597,1,3,2,2.710540115
598,4,4,2,2.710464201
599,1,3,2,2.710125918
600,3,3,3,2.710049856
601,4,3,3,2.709973753
602,2,4,2,2.709897611
603,3,4,3,2.709558824
604,3,1,3,2.709219858
605,4,3,3,2.709668944
606,2,3,3,2.709592641
607,1,1,1,2.709516299
608,3,1,3,2.709965816
609,2,2,3,2.710415571
610,4,1,NA,2.710602473
611,4,1,3,2.711052632
612,4,2,3,2.711503027
613,3,1,3,2.711690363
614,4,2,1,2.712141164
615,2,3,2,2.712328767
616,3,3,3,2.712252964
617,3,3,2,2.712177122
618,4,4,3,2.712101239
619,3,4,3,2.711761603
620,4,4,2,2.711421788
621,4,1,4,2.711081794
622,2,4,3,2.711533386
623,3,2,3,2.711193242
624,4,3,3,2.71138104
625,3,1,3,2.711304807
626,1,4,3,2.711756935
627,2,2,4,2.71141649
628,3,4,3,2.711604547
629,4,2,3,2.711263882
630,1,1,3,2.711451997
631,3,4,2,2.711904762
632,1,1,2,2.711563906
633,4,3,1,2.71201694
634,1,4,3,2.711940694
635,1,2,4,2.711599576
636,1,4,3,2.711788079
637,4,4,3,2.711446741
638,3,1,2,2.711105221
639,3,1,3,2.711558855
640,3,4,3,2.712012729
641,3,4,3,2.711671088
642,1,3,4,2.711329265
643,3,2,2,2.711252654
644,4,2,2,2.711441465
645,1,3,3,2.711630377
646,3,4,3,2.711553785
647,4,4,4,2.711211477
648,4,4,2,2.710868988
649,3,3,2,2.710526316
650,2,2,3,2.710449349
651,4,3,3,2.710638298
652,2,4,3,2.710561319
653,4,3,3,2.710218201
654,3,4,3,2.71014107
655,3,4,2,2.709797657
656,1,2,3,2.709454061
657,4,2,3,2.709643047
658,1,3,1,2.709832134
659,4,2,3,2.709754797
660,3,1,3,2.709944015
661,4,2,2,2.7104
662,4,4,2,2.710589491
663,3,2,4,2.710245464
664,4,3,2,2.710435015
665,3,1,2,2.710357715
666,3,2,4,2.710814419
667,3,3,3,2.711004274
668,2,2,3,2.710927064
669,4,4,4,2.71111705
670,3,2,3,2.710772521
671,1,4,3,2.710962567
672,4,4,3,2.710617812
673,2,3,2,2.710272873
674,3,3,3,2.710195344
675,2,3,3,2.710117773
676,4,1,2,2.710040161
677,4,2,2,2.710498125
678,3,4,4,2.710688454
679,NA,2,3,2.71034298
680,3,2,3,2.710533369
681,1,3,3,2.710723861
682,4,3,3,2.710646286
683,3,1,3,2.71056867
684,1,4,3,2.711027636
685,4,3,3,2.710681696
686,4,1,4,2.710604027
687,3,4,3,2.711063373
688,4,1,3,2.710717164
689,4,2,3,2.711176787
690,2,2,2,2.711367912
691,2,1,3,2.71155914
692,1,3,3,2.71201936
693,4,3,2,2.711941904
694,3,2,3,2.711864407
695,4,2,4,2.712055974
696,1,1,4,2.712247645
697,3,3,2,2.71270867
698,4,3,3,2.712631295
699,4,2,3,2.712553879
700,3,3,3,2.712745891
701,4,4,2,2.712668464
702,3,4,3,2.71232138
703,3,1,3,2.71197411
704,3,3,3,2.712435932
705,3,2,3,2.712358338
706,2,1,3,2.712550607
707,3,1,4,2.713012959
708,4,4,2,2.71347556
709,3,1,2,2.713128039
710,2,2,3,2.713590921
711,1,1,2,2.713783784
712,4,4,3,2.714247094
713,3,4,3,2.713899405
714,4,2,2,2.713551528
715,4,4,4,2.713744589
716,4,4,3,2.713396482
717,4,4,3,2.713048186
718,1,3,2,2.712699702
719,4,2,3,2.712621885
720,1,3,3,2.712814955
721,2,3,3,2.712737127
722,2,3,3,2.712659257
723,3,4,4,2.712581345
724,4,3,2,2.712232167
725,4,3,3,2.712154097
726,3,4,4,2.712075984
727,3,1,3,2.711726384
728,4,3,2,2.712191149
729,1,4,4,2.712112982
730,2,2,3,2.711763108
731,4,4,2,2.711956522
732,3,3,3,2.711606415
733,2,4,4,2.711528004
734,3,2,2,2.71117759
735,3,3,3,2.711371055
736,1,3,NA,2.711292517
737,4,3,2,2.711213936
738,1,3,1,2.711135312
739,4,4,3,2.711056645
740,4,3,3,2.71070553
741,1,4,3,2.710626703
742,3,1,3,2.710275279
743,3,1,1,2.710741549
744,1,3,3,2.711208072
745,3,4,3,2.711129296
746,1,4,2,2.710777626
747,3,1,3,2.710425764
748,2,1,2,2.710892711
749,1,1,3,2.711359913
750,3,4,3,2.71182737
751,4,4,2,2.71147541
752,4,1,3,2.711123258
753,2,4,4,2.711591033
754,1,2,3,2.71123872
755,2,3,3,2.71143326
756,4,1,3,2.711354309
757,1,2,4,2.71182266
758,4,1,3,2.71201752
759,1,2,4,2.712486309
760,2,1,4,2.712681457
761,1,4,2,2.713150685
762,3,1,2,2.712798027
763,1,4,2,2.713267544
764,1,1,3,2.712914724
765,3,3,1,2.713384531
766,1,1,4,2.713305898
767,1,3,4,2.71377607
768,4,3,3,2.713697502
769,4,4,2,2.713618891
770,4,2,2,2.713265586
771,2,3,2,2.713461538
772,3,3,4,2.713382797
773,1,4,3,2.713304013
774,1,4,4,2.712950234
775,1,1,4,2.71259626
776,3,2,3,2.7130674
777,2,1,3,2.713263621
778,4,2,3,2.713735205
779,2,4,1,2.713931718
780,2,4,4,2.713577527
781,3,1,3,2.71322314
782,1,3,3,2.713695233
783,4,2,3,2.713616318
784,4,1,3,2.713813069
785,3,3,3,2.714285714
786,4,2,2,2.714206897
787,1,3,2,2.714403974
788,3,3,4,2.714325145
789,4,2,2,2.714246273
790,4,1,3,2.714443524
791,4,1,3,2.714917127
792,4,3,2,2.715390992
793,1,4,3,2.715312327
794,1,3,2,2.714957147
795,3,3,2,2.714878319
796,2,3,2,2.714799447
797,3,2,3,2.714720531
798,2,1,2,2.71491835
799,1,3,4,2.715393134
800,1,2,1,2.715314317
801,1,2,4,2.715512465
802,4,3,3,2.715710723
803,2,1,2,2.715631929
804,4,2,3,2.716107569
805,2,3,2,2.716306156
806,3,3,3,2.716227462
807,3,3,4,2.716148724
808,4,3,3,2.716069942
809,1,2,3,2.715991116
810,3,3,2,2.716189947
811,3,1,2,2.716111111
812,1,3,1,2.716587941
813,3,1,3,2.716509172
814,3,1,3,2.716986378
815,4,2,3,2.717463849
816,3,2,2,2.717663421
817,4,3,3,2.717863105
818,3,4,4,2.717784581
819,2,4,3,2.717427617
820,1,1,1,2.717070454
821,4,1,4,2.717548747
822,2,2,3,2.718027306
823,3,2,4,2.718227425
824,4,2,1,2.718427655
825,1,3,3,2.718627998
826,4,1,1,2.718549512
827,4,3,3,2.719029018
828,4,3,1,2.7189506
829,3,4,3,2.718872138
830,2,3,3,2.718514381
831,3,2,3,2.718435754
832,1,4,3,2.718636491
833,3,1,3,2.718278368
834,4,2,3,2.718758736
835,4,4,3,2.718959732
836,4,4,1,2.718601399
837,1,1,4,2.718242865
838,2,3,3,2.718723762
839,3,4,3,2.718645017
840,3,1,3,2.718286194
841,4,4,3,2.718767507
842,1,2,3,2.718408518
843,2,3,3,2.718609865
844,4,2,3,2.718530978
845,3,4,2,2.718732473
846,3,3,3,2.718373072
847,NA,3,2,2.718294052
848,1,1,1,2.718214987
849,2,1,3,2.718697361
850,3,3,3,2.719180006
851,4,1,3,2.719101124
852,3,2,3,2.719584153
853,1,1,3,2.719786397
854,3,4,3,2.72026989
855,3,2,3,2.719910011
856,4,1,2,2.720112518
857,3,1,2,2.720596511
858,1,4,1,2.721080777
859,3,4,3,2.720720721
860,2,NA,2,2.720360462
861,1,4,3,2.721126761
862,3,2,NA,2.720766413
863,2,2,4,2.72096956
864,2,3,3,2.721172822
865,2,1,3,2.721094191
866,1,3,3,2.72157969
867,4,3,3,2.721501129
868,1,4,4,2.721422523
869,3,3,3,2.721061547
870,4,3,3,2.720982773
871,1,1,3,2.720903955
872,4,4,3,2.721390223
873,2,3,2,2.72102883
874,4,3,2,2.720949958
875,4,1,3,2.720871041
876,4,2,3,2.72135785
877,3,4,2,2.721561969
878,4,1,1,2.721200113
879,3,2,3,2.721687429
880,2,3,2,2.721891815
881,2,3,3,2.721813031
882,2,4,3,2.721734202
883,2,4,2,2.721371882
884,2,2,2,2.721009356
885,3,1,3,2.72121384
886,1,1,3,2.721702128
887,4,1,3,2.722190692
888,3,3,3,2.722679534
889,3,4,3,2.722600795
890,3,1,2,2.722238001
891,2,1,3,2.722727273
892,4,1,3,2.723216823
893,2,1,3,2.723706652
894,2,1,2,2.724196759
895,3,4,3,2.724687144
896,2,4,4,2.724324324
897,4,3,3,2.723961298
898,3,3,3,2.723882721
899,1,3,3,2.7238041
900,3,3,3,2.723725434
901,3,3,2,2.723646724
902,1,3,1,2.723567968
903,4,4,3,2.723489168
904,4,3,4,2.723125178
905,4,1,3,2.723046207
906,2,2,1,2.723537803
907,3,4,2,2.723744292
908,1,4,3,2.72337996
909,3,4,3,2.72301542
910,NA,4,2,2.722650671
911,1,4,3,2.722285714
912,2,3,3,2.721920549
913,4,4,2,2.721841052
914,1,1,1,2.72147555
915,3,3,3,2.721967963
916,2,1,3,2.721888412
917,4,3,3,2.722381225
918,4,2,3,2.722301746
919,1,2,3,2.722508591
920,4,1,3,2.722715554
921,3,3,3,2.723209169
922,4,2,3,2.723129837
923,1,2,3,2.723337156
924,3,3,3,2.723544594
925,4,3,3,2.72346529
926,4,1,3,2.72338594
927,2,3,3,2.723880597
928,3,3,3,2.723801321
929,4,4,4,2.723721999
930,4,4,4,2.723355358
931,1,2,2,2.722988506
932,4,4,3,2.723196321
933,4,2,2,2.722829212
934,1,4,3,2.723037101
935,4,1,2,2.722669735
936,4,2,3,2.723165468
937,2,2,3,2.723373633
938,3,3,3,2.723581918
939,4,3,3,2.723502304
940,4,1,3,2.723422645
941,3,4,3,2.723919308
942,1,3,2,2.723551456
943,3,4,3,2.723471742
944,4,3,3,2.723103548
945,4,3,2,2.723023658
946,2,4,3,2.722943723
947,4,3,3,2.722575058
948,4,2,3,2.722494947
949,4,4,3,2.72270364
950,1,2,3,2.722334585
951,2,4,4,2.722543353
952,3,4,4,2.722174039
953,2,2,3,2.721804511
954,3,4,2,2.722013306
955,2,4,3,2.721643519
956,3,4,3,2.721273517
957,3,4,3,2.720903301
958,1,4,4,2.72053287
959,4,4,3,2.720162225
960,3,3,3,2.719791365
961,4,3,3,2.719710145
962,4,3,3,2.719628878
963,3,4,2,2.719547564
964,3,3,2,2.719176095
965,4,3,3,2.719094602
966,3,3,1,2.719013062
967,4,3,4,2.718931475
968,4,2,3,2.71884984
969,1,3,2,2.719058687
970,2,3,4,2.718977042
971,3,2,3,2.718895349
972,2,1,3,2.719104391
973,2,1,4,2.719604421
974,3,2,3,2.720104743
975,4,3,3,2.720314319
976,2,4,2,2.720232897
977,3,2,1,2.719860221
978,3,4,2,2.72006991
979,2,1,3,2.71969697
980,1,2,3,2.720198193
981,3,2,1,2.720408163
982,4,4,2,2.720618256
983,4,4,3,2.720245041
984,4,3,1,2.719871608
985,2,2,2,2.719789842
986,3,3,4,2.72
987,4,1,3,2.719918224
988,1,4,NA,2.720420684
989,3,4,2,2.720046756
990,1,3,3,2.71967261
991,3,4,2,2.719590643
